title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
10,39,Robust Python: Write Clean and Maintainable Code,[ Patrick Viafore],32.99,32.99,380,4.5,57,73%,15%,6%,2%,4%,7 x 1 x 9 inches,1.33 pounds,English,"O'Reilly Media; 1st edition (August 3, 2021)",978-1098100667,/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37,https://www.amazon.com/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37
11,41,Learning Spark: Lightning-Fast Data Analytics,"[ Jules Damji, Brooke Wenig, et al.]",40.99,40.99,397,4.7,171,80%,16%,2%,2%,1%,7.25 x 1 x 9.25 inches,1.4 pounds,English,"O'Reilly Media; 2nd edition (August 25, 2020)",978-1492050049,/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106,https://www.amazon.com/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106
12,52,Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,"[ Neal Ford, Mark Richards, et al.]",30.99,30.99,459,4.6,232,76%,14%,5%,2%,2%,7 x 0.75 x 9.25 inches,1.65 pounds,English,"O'Reilly Media; 1st edition (November 30, 2021)", ,/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_95?keywords=data+analysis&qid=1671164651&sr=8-95,https://www.amazon.com/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_95?keywords=data+analysis&qid=1671164651&sr=8-95
13,54,"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",[ Mark Reed],22.58, 19.99 - 22.58 ,346,4.6,281,77%,13%,5%,3%,2%,7 x 0.78 x 10 inches,1.46 pounds,you will discover all you need ,"Independently published (July 10, 2022)",979-8840191583,/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93,https://www.amazon.com/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93
14,57,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","[ Paul Deitel,  and , Harvey Deitel]",97.99, 91.00 - 97.99 ,880,4.7,297,82%,10%,2%,3%,2%,7 x 1.45 x 9.1 inches,2.83 pounds,English,"Pearson; 1st edition (February 15, 2019)",978-0135404676,/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90
15,61,"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",[ Al Sweigart],26.49,26.49,592,4.7,"2,672",82%,12%,3%,1%,1%,7 x 1.31 x 9.31 inches,3.53 ounces,English,"No Starch Press; 2nd edition (November 12, 2019)",-34%,/Automate-Boring-Stuff-Python-2nd/dp/1593279922/ref=sr_1_86?keywords=data+analysis&qid=1671164651&sr=8-86,https://www.amazon.com/Automate-Boring-Stuff-Python-2nd/dp/1593279922/ref=sr_1_86?keywords=data+analysis&qid=1671164651&sr=8-86
16,62,Data Structures and Algorithm Analysis in Java: International Edition,[ Mark Allen Weiss],69.0,69,640,4.4,101,73%,12%,5%,5%,5%,7.4 x 1.43 x 9.13 inches,1.85 pounds,English,"Pearson Education; International ed of 3rd revised ed edition (January 1, 2012)", ,/Structures-Algorithm-Analysis-Java-Allen/dp/0273752111/ref=sr_1_85?keywords=data+analysis&qid=1671164651&sr=8-85,https://www.amazon.com/Structures-Algorithm-Analysis-Java-Allen/dp/0273752111/ref=sr_1_85?keywords=data+analysis&qid=1671164651&sr=8-85
17,63,Business Analysis For Dummies,"[ Kupe Kupersmith, Paul Mulvey, et al.]",18.39,18.39,384,4.4,527,70%,14%,10%,3%,3%,7.2 x 1 x 9 inches,1.51 pounds,English,"For Dummies; 1st edition (July 22, 2013)", ,/Business-Analysis-Dummies-Kupe-Kupersmith/dp/1118510585/ref=sr_1_156?keywords=data+analysis&qid=1671164661&sr=8-156,https://www.amazon.com/Business-Analysis-Dummies-Kupe-Kupersmith/dp/1118510585/ref=sr_1_156?keywords=data+analysis&qid=1671164661&sr=8-156
18,68,R For Dummies,"[ Andrie de Vries,  and , Joris Meys]",17.99, 11.36 - 17.99 ,432,4.4,493,66%,22%,8%,2%,3%,7.4 x 1.1 x 9.1 inches,1.66 pounds,English,"For Dummies; 2nd edition (July 7, 2015)", ,/R-Dummies-Andrie-Vries/dp/1119055806/ref=sr_1_152?keywords=data+analysis&qid=1671164661&sr=8-152,https://www.amazon.com/R-Dummies-Andrie-Vries/dp/1119055806/ref=sr_1_152?keywords=data+analysis&qid=1671164661&sr=8-152
19,72,Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,[ Arthur Fletcher],12.99,12.99,129,4.7,187,76%,20%,1%,2%,1%,6 x 0.3 x 9 inches,9 ounces,English,"Independently published (November 14, 2022)",979-8363702990,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0250567IU3R3YXU9TSI&qualifier=1671164651&id=8356854621227402&widgetName=sp_mtf&url=%2FExcel-2023-Productivity-Step-step%2Fdp%2FB0BM3TTQHD%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164651%26sr%3D8-84-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0250567IU3R3YXU9TSI&qualifier=1671164651&id=8356854621227402&widgetName=sp_mtf&url=%2FExcel-2023-Productivity-Step-step%2Fdp%2FB0BM3TTQHD%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164651%26sr%3D8-84-spons%26psc%3D1
20,80,An Introduction to Categorical Data Analysis,[ Alan Agresti],121.99, 28.97 - 121.99 ,400,4.4,54,69%,13%,11%,3%,5%,6.4 x 1 x 9.3 inches,1.52 pounds,English,"Wiley-Interscience; 2nd edition (March 23, 2007)",     ,/Introduction-Categorical-Data-Analysis/dp/0471226181/ref=sr_1_139?keywords=data+analysis&qid=1671164661&sr=8-139,https://www.amazon.com/Introduction-Categorical-Data-Analysis/dp/0471226181/ref=sr_1_139?keywords=data+analysis&qid=1671164661&sr=8-139
21,85,Think Stats: Exploratory Data Analysis,[ Allen B. Downey],25.49,25.49,226,4.2,137,65%,15%,7%,6%,7%,7 x 0.51 x 9.19 inches,14.1 ounces,English,"O'Reilly Media; 2nd edition (November 11, 2014)",978-1491907337,/Think-Stats-Exploratory-Data-Analysis/dp/1491907339/ref=sr_1_133?keywords=data+analysis&qid=1671164661&sr=8-133,https://www.amazon.com/Think-Stats-Exploratory-Data-Analysis/dp/1491907339/ref=sr_1_133?keywords=data+analysis&qid=1671164661&sr=8-133
22,94,Introduction to Machine Learning with R: Rigorous Mathematical Analysis,[ Scott V. Burger],40.49,40.49,226,4.1,21,59%,9%,19%,7%,7%,7 x 0.48 x 9.19 inches,1.47 pounds,English,"O'Reilly Media; 1st edition (April 17, 2018)",978-1491976449,/Introduction-Machine-Learning-Rigorous-Mathematical/dp/1491976446/ref=sr_1_197?keywords=data+analysis&qid=1671164670&sr=8-197,https://www.amazon.com/Introduction-Machine-Learning-Rigorous-Mathematical/dp/1491976446/ref=sr_1_197?keywords=data+analysis&qid=1671164670&sr=8-197
23,95,Statistical Analysis with R For Dummies (For Dummies (Computers)),[ Joseph Schmuller],19.59, 17.63 - 19.59 ,464,4.6,279,70%,22%,5%,2%,1%,7.4 x 1.1 x 9.1 inches,1.34 pounds,English,"For Dummies; 1st edition (March 20, 2017)",978-1119337065,/Statistical-Analysis-Dummies-Computers/dp/1119337062/ref=sr_1_196?keywords=data+analysis&qid=1671164670&sr=8-196,https://www.amazon.com/Statistical-Analysis-Dummies-Computers/dp/1119337062/ref=sr_1_196?keywords=data+analysis&qid=1671164670&sr=8-196
24,99,Qualitative Data Analysis with NVivo,"[ Kristi Jackson,  and , Pat Bazeley]",47.85, 44.95 - 47.85 ,376,4.6,110,77%,14%,5%,1%,2%,6.69 x 0.85 x 9.53 inches,1.39 pounds,English,"SAGE Publications Ltd; Third edition (May 31, 2019)",978-1526449948,/Qualitative-Data-Analysis-with-NVivo/dp/1526449943/ref=sr_1_191?keywords=data+analysis&qid=1671164670&sr=8-191,https://www.amazon.com/Qualitative-Data-Analysis-with-NVivo/dp/1526449943/ref=sr_1_191?keywords=data+analysis&qid=1671164670&sr=8-191
25,104,"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",[ Sylvia Moestl Vasilik],27.49, 15.19 - 27.49 ,125,4.4,493,69%,17%,5%,3%,6%,7.5 x 0.32 x 9.25 inches,9.6 ounces,English,"Independently published (March 13, 2017)",978-1520807638,/SQL-Practice-Problems-learn-doing/dp/1520807635/ref=sr_1_188?keywords=data+analysis&qid=1671164670&sr=8-188,https://www.amazon.com/SQL-Practice-Problems-learn-doing/dp/1520807635/ref=sr_1_188?keywords=data+analysis&qid=1671164670&sr=8-188
26,106,R in Action: Data Analysis and Graphics with R,[ Dr. Rob Kabacoff],51.0, 15.00 - 51.00 ,608,4.6,254,77%,13%,5%,2%,3%,7.38 x 1.3 x 9.25 inches,1.98 pounds,English,"Manning; 2nd edition (June 6, 2015)",978-1617291388,/Action-Data-Analysis-Graphics/dp/1617291382/ref=sr_1_186?keywords=data+analysis&qid=1671164670&sr=8-186,https://www.amazon.com/Action-Data-Analysis-Graphics/dp/1617291382/ref=sr_1_186?keywords=data+analysis&qid=1671164670&sr=8-186
27,112,Malware Data Science: Attack Detection and Attribution,"[ Joshua Saxe,  and , Hillary Sanders]",44.83, 26.17 - 44.83 ,272,4.6,93,73%,17%,8%,1%,1%,7 x 0.69 x 9.31 inches,1.37 pounds,English,"No Starch Press (September 25, 2018)",978-1593278595,/Malware-Data-Science-Detection-Attribution/dp/1593278594/ref=sr_1_252?keywords=data+analysis&qid=1671164678&sr=8-252,https://www.amazon.com/Malware-Data-Science-Detection-Attribution/dp/1593278594/ref=sr_1_252?keywords=data+analysis&qid=1671164678&sr=8-252
28,113,"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",[ Jeffrey M. Wooldridge],115.0, 37.13 - 115.00 ,1096,4.5,119,76%,13%,4%,3%,4%,8.25 x 1.72 x 9.31 inches,4.1 pounds,English,"The MIT Press; second edition (October 1, 2010)",978-0262232586,/Econometric-Analysis-Cross-Section-Panel/dp/0262232588/ref=sr_1_250?keywords=data+analysis&qid=1671164678&sr=8-250,https://www.amazon.com/Econometric-Analysis-Cross-Section-Panel/dp/0262232588/ref=sr_1_250?keywords=data+analysis&qid=1671164678&sr=8-250
29,116,SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"[ Upom Malik, Matt Goldwasser, et al.]",27.88,27.88,386,4.4,234,69%,13%,11%,4%,3%,7.5 x 0.87 x 9.25 inches,1.32 pounds,English,"Packt Publishing (August 23, 2019)",978-1789807356,/SQL-Data-Analytics-efficient-analysis/dp/1789807352/ref=sr_1_246?keywords=data+analysis&qid=1671164678&sr=8-246,https://www.amazon.com/SQL-Data-Analytics-efficient-analysis/dp/1789807352/ref=sr_1_246?keywords=data+analysis&qid=1671164678&sr=8-246
30,119,Excel 2022: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials,[ Leonard J. Ledger],19.7,19.7,149,4.3,735,62%,17%,11%,4%,5%,8.5 x 0.34 x 11 inches,12.8 ounces,English,"Independently published (April 1, 2022)",979-8444443675,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A02966671HIW0U1WCSPCQ&qualifier=1671164678&id=4917183037504927&widgetName=sp_atf_next&url=%2FExcel-2022-Microsoft-step-step%2Fdp%2FB09X4YHJLW%2Fref%3Dsr_1_193_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-193-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A02966671HIW0U1WCSPCQ&qualifier=1671164678&id=4917183037504927&widgetName=sp_atf_next&url=%2FExcel-2022-Microsoft-step-step%2Fdp%2FB09X4YHJLW%2Fref%3Dsr_1_193_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-193-spons%26psc%3D1
31,120,Data Science from Scratch: First Principles with Python,[ Joel Grus],44.97, 13.05 - 44.97 ,330,4.3,318,63%,17%,10%,7%,3%,7.01 x 0.69 x 9.17 inches,1.32 pounds,English,"O'Reilly Media; 1st edition (April 30, 2015)",978-1491901427,/Data-Science-Scratch-Principles-Python/dp/149190142X/ref=sr_1_245?keywords=data+analysis&qid=1671164678&sr=8-245,https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/149190142X/ref=sr_1_245?keywords=data+analysis&qid=1671164678&sr=8-245
32,121,Doing Data Science: Straight Talk from the Frontline,"[ ""Cathy ONeil"",  and , Rachel Schutt]",26.44, 14.99 - 26.44 ,408,4.3,175,61%,24%,7%,5%,3%,6 x 0.78 x 9 inches,1.2 pounds,English,"O'Reilly Media; 1st edition (November 19, 2013)",#NAME?,/Doing-Data-Science-Straight-Frontline/dp/1449358659/ref=sr_1_243?keywords=data+analysis&qid=1671164678&sr=8-243,https://www.amazon.com/Doing-Data-Science-Straight-Frontline/dp/1449358659/ref=sr_1_243?keywords=data+analysis&qid=1671164678&sr=8-243
33,122,"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",[ Paul McFedries],8.09,8.09,"Explores all features and functions in two-color  packed with screenshots, numbered steps, and other visual graphics that clearly show you how to accomplish tasks",4.1,19,50%,32%,3%,8%,8%,7.4 x 0.66 x 9.25 inches,1.35 pounds,English,"Visual; 4th edition (July 29, 2013)",978-1118517147,/Excel-Data-Analysis-blueprint-PivotTables/dp/1118517148/ref=sr_1_241?keywords=data+analysis&qid=1671164678&sr=8-241,https://www.amazon.com/Excel-Data-Analysis-blueprint-PivotTables/dp/1118517148/ref=sr_1_241?keywords=data+analysis&qid=1671164678&sr=8-241
34,131,Data Smart: Using Data Science to Transform Information into Insight,[ John W. Foreman],21.21, 10.64 - 21.21 ,432,4.5,347,70%,16%,8%,4%,2%,7.3 x 0.8 x 9.1 inches,1.6 pounds,English,"Wiley; 1st edition (November 12, 2013)",978-1118661468,/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_235?keywords=data+analysis&qid=1671164678&sr=8-235,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_235?keywords=data+analysis&qid=1671164678&sr=8-235
35,135,Business Analytics: Data Analysis & Decision Making - Standalone book,"[ S. Christian Albright,  and , Wayne L. Winston]",93.15, 46.10 - 93.15 ,984,4.4,174,72%,14%,5%,3%,7%,8 x 1.5 x 10 inches,4.1 pounds,English,"Cengage Learning; 6th edition (April 27, 2016)",978-1305947542,/Business-Analytics-Analysis-Decision-Standalone/dp/1305947541/ref=sr_1_233?keywords=data+analysis&qid=1671164678&sr=8-233,https://www.amazon.com/Business-Analytics-Analysis-Decision-Standalone/dp/1305947541/ref=sr_1_233?keywords=data+analysis&qid=1671164678&sr=8-233
36,144,Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,[ PROGRAMMING LANGUAGES ACADEMY],17.95,17.95,205,4.4,292,63%,22%,7%,3%,4%,6 x 0.47 x 9 inches,1.19 pounds,English,"Independently published (January 2, 2020)",978-1654414016,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01856671OVHV7MY603CB&qualifier=1671164678&id=4917183037504927&widgetName=sp_mtf&url=%2FPython-Beginners-Books-Programming-Workbook%2Fdp%2F1654414018%2Fref%3Dsr_1_225_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-225-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01856671OVHV7MY603CB&qualifier=1671164678&id=4917183037504927&widgetName=sp_mtf&url=%2FPython-Beginners-Books-Programming-Workbook%2Fdp%2F1654414018%2Fref%3Dsr_1_225_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-225-spons%26psc%3D1
37,148,Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,"[ Marc Wintjen,  and , Andrew Vlahutin]",34.99,34.99,322,4.0,33,56%,16%,7%,10%,11%,7.5 x 0.73 x 9.25 inches,1.22 pounds,English,"Packt Publishing (June 19, 2020)",978-1838826031,/Practical-Analysis-Using-Jupyter-Notebook/dp/1838826033/ref=sr_1_298?keywords=data+analysis&qid=1671164689&sr=8-298,https://www.amazon.com/Practical-Analysis-Using-Jupyter-Notebook/dp/1838826033/ref=sr_1_298?keywords=data+analysis&qid=1671164689&sr=8-298
38,149,Introduction to Statistics and Data Analysis,"[ Roxy Peck, Chris Olsen, et al.]",15.1,15.1,944,4.5,53,69%,14%,12%,3%,1%,10 x 1 x 12 inches,4.37 pounds,English,"Brooks Cole; 5th edition (January 1, 2015)",978-1305267244,/Introduction-Statistics-Data-Analysis-Roxy/dp/1305115341/ref=sr_1_295?keywords=data+analysis&qid=1671164689&sr=8-295,https://www.amazon.com/Introduction-Statistics-Data-Analysis-Roxy/dp/1305115341/ref=sr_1_295?keywords=data+analysis&qid=1671164689&sr=8-295
39,163,Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,[ Philipp K. Janert],39.99, 13.46 - 39.99 ,540,4.3,73,62%,20%,7%,7%,4%,7 x 1.4 x 9.19 inches,1.88 pounds,English,"O'Reilly Media; 1st edition (December 14, 2010)",978-0596802356,/Data-Analysis-Source-Tools-Hands/dp/0596802358/ref=sr_1_281?keywords=data+analysis&qid=1671164689&sr=8-281,https://www.amazon.com/Data-Analysis-Source-Tools-Hands/dp/0596802358/ref=sr_1_281?keywords=data+analysis&qid=1671164689&sr=8-281
40,170,R Graphics Cookbook: Practical Recipes for Visualizing Data,[ Winston Chang],54.97, 31.24 - 54.97 ,444,4.5,82,74%,14%,4%,6%,2%,6.7 x 1 x 9.1 inches,1.55 pounds,English,"O'Reilly Media; 2nd edition (November 30, 2018)",978-1491978603,/Graphics-Cookbook-Practical-Recipes-Visualizing/dp/1491978600/ref=sr_1_313?keywords=data+analysis&qid=1671164699&sr=8-313,https://www.amazon.com/Graphics-Cookbook-Practical-Recipes-Visualizing/dp/1491978600/ref=sr_1_313?keywords=data+analysis&qid=1671164699&sr=8-313
41,181,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",[ Martin Kleppmann],23.37,23.37,611,4.8,"3,443",85%,9%,3%,1%,2%,7.01 x 1.24 x 9.17 inches,2.15 pounds,English,"O'Reilly Media; 1st edition (May 2, 2017)",978-1449373320,/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_300?keywords=data+analysis&qid=1671164699&sr=8-300,https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_300?keywords=data+analysis&qid=1671164699&sr=8-300
42,183,Excel: Pivot Tables & Charts (Quick Study Computer),[ Inc. BarCharts],5.95,5.95,6,4.6,"1,527",74%,15%,7%,2%,2%,8.5 x 11 x 0.06 inches,2.24 ounces,English,"QuickStudy; Lam Rfc Cr edition (May 31, 2011)",978-1423216438,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A10251402Y6TUC0R48E1K&qualifier=1671164699&id=1792140535860055&widgetName=sp_mtf&url=%2FExcel-Pivot-Tables-Charts-Computer%2Fdp%2F1423216431%2Fref%3Dsr_1_307_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164699%26sr%3D8-307-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A10251402Y6TUC0R48E1K&qualifier=1671164699&id=1792140535860055&widgetName=sp_mtf&url=%2FExcel-Pivot-Tables-Charts-Computer%2Fdp%2F1423216431%2Fref%3Dsr_1_307_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164699%26sr%3D8-307-spons%26psc%3D1
